"","db","query","family"
"1","itis","Abies balsamea","Pinaceae"
"2","itis","Abies grandis","Pinaceae"
"3","itis","Acer rubrum","Sapindaceae"
"4","itis","Achyrocline satureioides","Asteraceae"
"5","itis","Aegiphila integrifolia","Lamiaceae"
"6","itis","Aglaia abbreviata","Meliaceae"
"7","itis","Aglaia perviridis","Meliaceae"
"8","itis","Albizia niopoides","Fabaceae"
"9","itis","Allophylus racemosus","Sapindaceae"
"10","itis","Alnus nepalensis","Betulaceae"
"11","itis","Amphilophium crucigerum","Bignoniaceae"
"12","itis","Amyris elemifera","Rutaceae"
"13","itis","Anemia caffrorum","Anemiaceae"
"14","itis","Anemopaegma orbiculatum","Bignoniaceae"
"15","itis","Annona reticulata","Annonaceae"
"16","itis","Anthurium scandens","Araceae"
"17","itis","Antidesma montanum","Phyllanthaceae"
"18","itis","Arbutus unedo","Ericaceae"
"19","itis","Artemisia frigida","Asteraceae"
"20","itis","Astragalus drummondii","Fabaceae"
"21","itis","Astragalus laxmannii","Fabaceae"
"22","itis","Astragalus shortianus","Fabaceae"
"23","itis","Astronium graveolens","Anacardiaceae"
"24","itis","Athyrium filix-femina","Athyriaceae"
"25","itis","Avena sativa","Poaceae"
"26","itis","Baccaurea ramiflora","Phyllanthaceae"
"27","itis","Baccharis uncinella","Asteraceae"
"28","itis","Banisteriopsis muricata","Malpighiaceae"
"29","itis","Barbacenia purpurea","Velloziaceae"
"30","itis","Barringtonia pendula","Lecythidaceae"
"31","itis","Bauhinia ungulata","Fabaceae"
"32","itis","Beilschmiedia robusta","Lauraceae"
"33","itis","Betula papyrifera","Betulaceae"
"34","itis","Betula pubescens","Betulaceae"
"35","itis","Bignonia aequinoctialis","Bignoniaceae"
"36","itis","Bignonia diversifolia","Bignoniaceae"
"37","itis","Bourreria pulchra","Ehretiaceae"
"38","itis","Bourreria succulenta","Ehretiaceae"
"39","itis","Bouteloua gracilis","Poaceae"
"40","itis","Bursera simaruba","Burseraceae"
"41","itis","Byrsonima crassifolia","Malpighiaceae"
"42","itis","Caesalpinia gaumeri","Fabaceae"
"43","itis","Callichlamys latifolia","Bignoniaceae"
"44","itis","Calycophylum candidissimum",NA
"45","itis","Capsicum chinense cv. Habanero",NA
"46","itis","Carex duriuscula","Cyperaceae"
"47","itis","Carpinus viminea","Betulaceae"
"48","itis","Casearia corymbosa","Salicaceae"
"49","itis","Casearia sylvestris","Salicaceae"
"50","itis","Cavendishia capitulata","Ericaceae"
"51","itis","Cavendishia complectens","Ericaceae"
"52","itis","Cavendishia limonensis",NA
"53","itis","Cavendishia melastomoides","Ericaceae"
"54","itis","Cavendishia quercina","Ericaceae"
"55","itis","Cecropia pachystachya","Urticaceae"
"56","itis","Cedrela fissilis","Meliaceae"
"57","itis","Cedrela odorata","Meliaceae"
"58","itis","Ceiba speciosa","Malvaceae"
"59","itis","Celtis australis","Cannabaceae"
"60","itis","Celtis occidentalis","Cannabaceae"
"61","itis","Centella asiatica","Apiaceae"
"62","itis","Ceratonia siliqua","Fabaceae"
"63","itis","Chionolaena capitata",NA
"64","itis","Chisocheton siamensis","Meliaceae"
"65","itis","Chlorophytum comosum","Asparagaceae"
"66","itis","Chomelia spinosa","Rubiaceae"
"67","itis","Chusquea pinifolia","Poaceae"
"68","itis","Cinnamomum bejolghota","Lauraceae"
"69","itis","Citrus x sinensis","Rutaceae"
"70","itis","Cleidion brevipetiolatum","Euphorbiaceae"
"71","itis","Clusia stenophylla","Clusiaceae"
"72","itis","Coccoloba diversifolia","Polygonaceae"
"73","itis","Coccoloba microstachya","Polygonaceae"
"74","itis","Cochlospermum vitifolium","Cochlospermaceae"
"75","itis","Cochospermum vitifolium",NA
"76","itis","Coffea arabica","Rubiaceae"
"77","itis","Columnea glabra","Gesneriaceae"
"78","itis","Columnea insignis",NA
"79","itis","Columnea lepidocaulis",NA
"80","itis","Columnea magnifica","Gesneriaceae"
"81","itis","Combretum farinosum","Combretaceae"
"82","itis","Cordia alliodora","Cordiaceae"
"83","itis","Cordia collococca","Cordiaceae"
"84","itis","Cordia cymosa","Cordiaceae"
"85","itis","Cordia dentata","Cordiaceae"
"86","itis","Cordia lasiocalyx","Cordiaceae"
"87","itis","Cordia panamensis","Cordiaceae"
"88","itis","Cornus florida","Cornaceae"
"89","itis","Cortaderia modesta","Poaceae"
"90","itis","Cosmibuena valerii","Rubiaceae"
"91","itis","Craterostigma plantagineum","Linderniaceae"
"92","itis","Crescentia cujete","Bignoniaceae"
"93","itis","Crossopetalum rhacoma","Celastraceae"
"94","itis","Cupania guatemalensis","Sapindaceae"
"95","itis","Curatella americana","Dilleniaceae"
"96","itis","Cylindrokelupha yunnanensis",NA
"97","itis","Dalberigia retusa",NA
"98","itis","Davallia canariensis","Davalliaceae"
"99","itis","Davilla kunthii","Dilleniaceae"
"100","itis","Dichapetalum gelonioides","Dichapetalaceae"
"101","itis","Diospyros nigrocortex","Ebenaceae"
"102","itis","Dipteryx oleifera","Fabaceae"
"103","itis","Disterigma humboldtii","Ericaceae"
"104","itis","Doliocarpus major","Dilleniaceae"
"105","itis","Drypetes hoaensis","Putranjivaceae"
"106","itis","Elaeocarpus glabripetalus var. alatus",NA
"107","itis","Elaphoglossum lingua","Dryopteridaceae"
"108","itis","Enterolobium cyclocarpum","Fabaceae"
"109","itis","Erigeron pumilus","Asteraceae"
"110","itis","Eriogonum effusum","Polygonaceae"
"111","itis","Erithalis fruticosa","Rubiaceae"
"112","itis","Eryngium glaziovianum",NA
"113","itis","Erythrophleum chlorostachys","Fabaceae"
"114","itis","Eucalyptus camaldulensis","Myrtaceae"
"115","itis","Eucalyptus dunnii","Myrtaceae"
"116","itis","Eucalyptus grandis","Myrtaceae"
"117","itis","Eucalyptus miniata","Myrtaceae"
"118","itis","Eucalyptus pellita","Myrtaceae"
"119","itis","Eucalyptus pilularis","Myrtaceae"
"120","itis","Eucalyptus rubida","Myrtaceae"
"121","itis","Eucalyptus tereticornes",NA
"122","itis","Eucalyptus tetrodonta","Myrtaceae"
"123","itis","Eucalyptus urophylla","Myrtaceae"
"124","itis","Eucalyptus urophylla x Eucalyptus camaldulensis",NA
"125","itis","Eucalyptus urophylla x Eucalyptus grandis","Myrtaceae"
"126","itis","Eugenia foetida","Myrtaceae"
"127","itis","Eugenia procera","Myrtaceae"
"128","itis","Eugenia salamensis","Myrtaceae"
