"","db","query","family"
"1","itis","Abies balsamea","Pinaceae"
"2","itis","Abies grandis","Pinaceae"
"3","itis","Acer rubrum","Sapindaceae"
"4","itis","Achyrocline satureioides",NA
"5","itis","Albizia niopoides",NA
"6","itis","Allophylus racemosus","Sapindaceae"
"7","itis","Alnus nepalensis","Betulaceae"
"8","itis","Amphilophium crucigerum",NA
"9","itis","Amyris elemifera","Rutaceae"
"10","itis","Anemia caffrorum",NA
"11","itis","Anemopaegma orbiculatum",NA
"12","itis","Annona reticulata","Annonaceae"
"13","itis","Arbutus unedo","Ericaceae"
"14","itis","Astronium graveolens",NA
"15","itis","Avena sativa","Poaceae"
"16","itis","Baccharis uncinella",NA
"17","itis","Banisteriopsis muricata",NA
"18","itis","Barbacenia purpurea",NA
"19","itis","Bauhinia ungulata","Fabaceae"
"20","itis","Betula papyrifera","Betulaceae"
"21","itis","Bignonia aequinoctialis",NA
"22","itis","Bignonia diversifolia",NA
"23","itis","Bourreria pulchra",NA
"24","itis","Bourreria succulenta","Ehretiaceae"
"25","itis","Bursera simaruba","Burseraceae"
"26","itis","Byrsonima crassifolia","Malpighiaceae"
"27","itis","Caesalpinia gaumeri",NA
"28","itis","Callichlamys latifolia",NA
"29","itis","Calycophylum candidissimum",NA
"30","itis","Carpinus viminea",NA
"31","itis","Casearia corymbosa",NA
"32","itis","Casearia sylvestris","Salicaceae"
"33","itis","Cedrela odorata","Meliaceae"
"34","itis","Celtis australis","Cannabaceae"
"35","itis","Celtis occidentalis","Cannabaceae"
"36","itis","Centella asiatica","Apiaceae"
"37","itis","Ceratonia siliqua","Fabaceae"
"38","itis","Chionolaena capitata",NA
"39","itis","Chlorophytum comosum","Asparagaceae"
"40","itis","Chomelia spinosa",NA
"41","itis","Chusquea pinifolia","Poaceae"
"42","itis","Citrus x sinensis","Rutaceae"
"43","itis","Coccoloba diversifolia","Polygonaceae"
"44","itis","Coccoloba microstachya","Polygonaceae"
"45","itis","Cochlospermum vitifolium","Cochlospermaceae"
"46","itis","Cochospermum vitifolium",NA
"47","itis","Combretum farinosum",NA
"48","itis","Cordia alliodora","Cordiaceae"
"49","itis","Cordia collococca","Cordiaceae"
"50","itis","Cordia cymosa",NA
"51","itis","Cordia dentata","Cordiaceae"
"52","itis","Cordia lasiocalyx",NA
"53","itis","Cordia panamensis","Cordiaceae"
"54","itis","Cornus florida","Cornaceae"
"55","itis","Cortaderia modesta","Poaceae"
"56","itis","Craterostigma plantagineum","Linderniaceae"
"57","itis","Crescentia cujete","Bignoniaceae"
"58","itis","Crossopetalum rhacoma","Celastraceae"
"59","itis","Cupania guatemalensis",NA
"60","itis","Curatella americana",NA
"61","itis","Dalberigia retusa",NA
"62","itis","Davallia canariensis",NA
"63","itis","Davilla kunthii",NA
"64","itis","Dipteryx oleifera","Fabaceae"
"65","itis","Doliocarpus major","Dilleniaceae"
"66","itis","Enterolobium cyclocarpum","Fabaceae"
"67","itis","Erithalis fruticosa","Rubiaceae"
"68","itis","Eryngium glaziovianum",NA
"69","itis","Erythrophleum chlorostachys",NA
"70","itis","Eucalyptus miniata",NA
"71","itis","Eucalyptus rubida","Myrtaceae"
"72","itis","Eucalyptus tetrodonta",NA
"73","itis","Eugenia foetida","Myrtaceae"
"74","itis","Eugenia procera","Myrtaceae"
"75","itis","Eugenia salamensis",NA
"76","itis","Eugenia xerophytica",NA
"77","itis","Exostema caribbeaum",NA
"78","itis","Festuca arundinacea",NA
"79","itis","Ficus nitida",NA
"80","itis","Ficus rubiginosa","Moraceae"
"81","itis","Flaveria robusta",NA
"82","itis","Forsteronia spicata",NA
"83","itis","Fraxinus pennsylvanica","Oleaceae"
"84","itis","Gamochaeta purpurea","Asteraceae"
"85","itis","Gaultheria shallon","Ericaceae"
"86","itis","Genipa americana","Rubiaceae"
"87","itis","Ginkgo biloba","Ginkgoaceae"
"88","itis","Gliricidia sepium","Fabaceae"
"89","itis","Gouania polygama","Rhamnaceae"
"90","itis","Guazuma ulmifolia","Malvaceae"
"91","itis","Gymnanthes lucida","Euphorbiaceae"
"92","itis","Gymnopodium floribundum",NA
"93","itis","Hedera helix","Araliaceae"
"94","itis","Helianthus annus",NA
"95","itis","Heteropogon contortus","Poaceae"
"96","itis","Heteropterys laurifolia","Malpighiaceae"
"97","itis","Hibiscus rosa-sinensis","Malvaceae"
"98","itis","Hieronyma alchorneoides",NA
"99","itis","Hippophae rhamnoides","Elaeagnaceae"
"100","itis","Hiraea reclinata",NA
"101","itis","Hura crepitans","Euphorbiaceae"
"102","itis","Hymenea courbaril",NA
"103","itis","Hypochaeris lutea",NA
"104","itis","Juniperus californica","Cupressaceae"
"105","itis","Krugiodendron ferreum","Rhamnaceae"
"106","itis","Larix decidua","Pinaceae"
"107","itis","Laurus nobilis","Lauraceae"
"108","itis","Leptostelma maximum",NA
"109","itis","Limonium perezii","Plumbaginaceae"
"110","itis","Liquidambar styraciflua","Altingiaceae"
"111","itis","Liriodendron tulipifera","Magnoliaceae"
"112","itis","Lonchocarpus guatemalensis",NA
"113","itis","Lonchocarpus xuul",NA
"114","itis","Luehea candida",NA
"115","itis","Luehea speciosa","Malvaceae"
"116","itis","Lupinus angustifolius","Fabaceae"
"117","itis","Lysiloma latisiliquum","Fabaceae"
"118","itis","Macfadyena unguis-cati",NA
"119","itis","Machaerina ensifolia",NA
"120","itis","Machaerium capote",NA
"121","itis","Machaerium milleflorum",NA
"122","itis","Maclura tinctoria","Moraceae"
"123","itis","Manilkara chicle",NA
"124","itis","Mansoa hymenaea","Bignoniaceae"
"125","itis","Maripa panamensis",NA
"126","itis","Marsilea quadrifolia","Marsileaceae"
"127","itis","Miconia albicans",NA
"128","itis","Mikania glaziovii ",NA
"129","itis","Mimosa bahamensis",NA
"130","itis","Morus alba","Moraceae"
"131","itis","Neomillspaughia emarginata",NA
"132","itis","Nephrolepis exaltata","Lomariopsidaceae"
"133","itis","Nerium oleander","Apocynaceae"
"134","itis","Olea europaea","Oleaceae"
"135","itis","Oryza sativa","Poaceae"
"136","itis","Osmunda regalis","Osmundaceae"
"137","itis","Oxandra espintana",NA
"138","itis","Pachira quinata",NA
"139","itis","Paullinia cururu",NA
"140","itis","Paullinia pinnata","Sapindaceae"
"141","itis","Pennisetum glaucum",NA
"142","itis","Petrea volubilis","Verbenaceae"
"143","itis","Phaseolus vulgaris","Fabaceae"
