"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"1","Quercus rubra","Temperate","W","CD",-1.6825,90.267,-1.11,65.0688237465764,1.313,"Holtzman, N. M., Anderegg, L. D. L., Kraatz, S., Mavrovic, A., Sonnentag, O., Pappas, C., Cosh, M. H., Langlois, A., Lakhankar, T., Tesser, D., Steiner, N., Colliander, A., Roy, A., & Konings, A. G. (2021). L-band vegetation optical depth as an indicator of plant water potential in a temperate deciduous forest stand. Biogeosciences, 18(2), 739–753. https://doi.org/10.5194/bg-18-739-2021",1,0,"42.53691",-72.17265,"NA",NA,NA,"T","Wild","Ad",-0.2,-1.6,"N",NA,85.4353655792548,77.1199414474259,8.31542413182888,4.94230260435594,"predawn water potential was measured at ~20m, so soil water potential was ~0MPa","Contributed",-16.3757725,-117.207571,"Fagaceae","Quercus","rubra","Angiosperm"
"2","Cortaderia modesta","TropicalDry","H","E",-2.82,80.87,-2.32,160.8932612,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-4.18,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-53.9466,NA,"Poaceae","Cortaderia","modesta","Angiosperm"
"3","Machaerina ensifolia","TropicalDry","H","E",-2.28,89.28,-1.69,273.8895723,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-3,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-24.4416,NA,NA,"Machaerina","ensifolia","Angiosperm"
"4","Chionolaena capitata","TropicalDry","W","E",-1.13,77.09,-0.84,52.83511041,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-3.25,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-25.8883,NA,NA,"Chionolaena","capitata","Angiosperm"
"5","Chusquea pinifolia","TropicalDry","H","E",-3.18,83.24,-2.35,88.90726072,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-3.55,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-53.2968,NA,"Poaceae","Chusquea","pinifolia","Angiosperm"
"6","Mikania glaziovii ","TropicalDry","W","E",-1.6,80.4,-1.18,58.48856511,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"L","Wild","Ad",NA,-2.4,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-31.36,NA,NA,"Mikania","","Angiosperm"
"7","Eryngium glaziovianum","TropicalDry","H","E",-1.91,94.26,-1.21,144.6276026,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-4.8,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-10.9634,NA,NA,"Eryngium","glaziovianum","Angiosperm"
"8","Hypochaeris lutea","TropicalDry","H","E",-1.73,84.61,-1.38,30.80801772,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-3.85,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-26.6247,NA,"Asteraceae","Hypochaeris","lutea","Angiosperm"
"9","Leptostelma maximum","TropicalDry","H","E",-1.65,77.15,-1.26,66.91689969,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"H","Wild","Ad",NA,-2.5,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-37.7025,NA,NA,"Leptostelma","maximum","Angiosperm"
"10","Pleroma hospita","TropicalDry","W","E",-2.3,76.24,-1.67,118.3240787,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-2.3,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-54.648,NA,NA,"Pleroma","hospita","Angiosperm"
"11","Baccharis uncinella","TropicalDry","W","E",-2.13,66.32,-1.42,109.950247,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-3.6,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-71.7384,NA,"Asteraceae","Baccharis","uncinella","Angiosperm"
"12","Achyrocline satureioides","TropicalDry","W","E",-2.05,55.94,-1.15,91.65015472,NA,"Matos, IS, Eller, CB, Oliveras, I, Mantuano, D, Rosado, BHP. Three eco-physiological strategies of response to drought maintain the form and function of a tropical montane grassland. J Ecol. 2021; 109: 327– 341. https://doi.org/10.1111/1365-2745.13481",0,1,"-22.372917",-44.704333,"NA",NA,NA,"S","Wild","Ad",NA,-2.55,"Y",2400,NA,NA,NA,NA,NA,"Contributed",-90.323,NA,"Asteraceae","Achyrocline","satureioides","Angiosperm"
