Species,Genus,Species_name,Biomes,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome_FunctionalType,OsmoticPotential_WET_MPa,OsmoticPotential_DRY_MPa,OsmoticAdjustment_MPa,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_adjustment_contribution_to_TLP_DRY_percent,RWC_total_wet_percent,RWC_total_dry_percent,RWC_total_Adjustment_percent,RWC_adjustment_contribution_to_postdroughtRWC_percent,Drought Treatment,Site_Latitude,Site_Longitude,Site_Number,MeanAnnualPrecip_mm,AridityIndex_AI,PotentialEvapotranspiration_annual_mm,MeanPrecipitation_WetSeason_mm,MeanPrecipitation_DrySeason_mm,PotentialEvapotranspiration_WetSeason_mm,PotentialEvapotranspiration_DrySeason_mm,Annual_WaterBalance_mm,WetSeason_WaterBalance_mm,DrySeason_WaterBalance_mm,Seasonal_Difference_WaterBalance_mm,Wet month,Dry month,Reference,Notes
Abies amabilis,Abies,amabilis,TemperateConifer,W,E,TemperateConifer,-1.22,-1.72,-0.5,-1.89,-2.54,-0.65,25.59055118,85,79,-6,-7.594936709,Seasonal adjustment,47.3,-121.6,Site64,1316,2.1548,607,122,47,79,117,709,43,-70,113,May,July,Teskey et al. 1983,
Abies balsamea,Abies,balsamea,TemperateConifer,W,E,TemperateConifer,-1.03,-1.37,-0.34,-1.28,-1.71,-0.43,25.14619883,93.1,90.1,-3,-3.32963374,Seasonal adjustment,47.3,-71.2,Site57,1316,2.1548,607,125,140,125,100,709,8,15,-7,July,August,Pothier & Margolis 1990,
Abies grandis,Abies,grandis,TemperateConifer,W,E,TemperateConifer,-2.03,-2.18,-0.15,-2.29,-2.46,-0.17,6.910569106,90.8,91,0.2,0.21978022,Seasonal adjustment,46.8,-116.8,Site49,698,0.75,932,24,30,179,158,-234,-155,-128,-27,July,August,Jackson & Spomer 1989,
Acacia raddiana,Acacia,raddiana,SemiDesert,W,E,SemiDesert,-1.31,-1.33,-0.02,-2.01,-2.16,-0.15,6.944444444,,,,,Seasonal adjustment,30.80791068,34.90356445,Site11,60.5,0.1253,1478,23,0,67,182,-1417.5,-44,-182,138,February,August,Shrestha 2003,
Acer macrophyllum,Acer,macrophyllum,Temperate,W,D,TemperateD,-1.66,-1.69,-0.03,-2.2,-2.16,0.04,-1.851851852,,,,,Seasonal adjustment,44.63812412,-123.192101,Site26,1085,1.0793,1020,35,18,148,157,65,-113,-139,26,June,August,Davis 2005,
Acer negundo,Acer,negundo,Temperate,W,D,TemperateD,-1.47,-2.05,-0.58,-1.61,-2.48,-0.87,35.08064516,,,,,Seasonal adjustment,47.81305556,-114.3091667,Site68,461,0.4886,925,61,38,149,153,-464,-88,-115,27,June,August,Foster 1992,
Acer rubrum,Acer,rubrum,Temperate,W,D,TemperateD,-1.81,-1.85,-0.04,-1.98,-1.97,0.01,-0.507614213,91.6,90.8,-0.8,-0.881057269,Seasonal adjustment,44.710281,-89.09582,Site70,814,0.9025,903,91,102,132,138,-89,-41,-36,-5,May,August,Abrams 1988,
Adesmia boronioides,Adesmia,boronioides,SemiDesert,W,E,SemiDesert,-1.47,-2.05,-0.58,-2,-2.88,-0.88,30.55555556,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Alhagi sparsifolia,Alhagi,sparsifolia,SemiDesert,W,E,SemiDesert,,,,-1.55,-2.22,-0.67,30.18018018,,,,,Seasonal adjustment,37.01666667,80.8,Site65,33,0.0259,1271,7,6,170,195,-1238,-163,-194,31,May,July,Thomas et al. 2008,
Allocasaurina campestris,Allocasuarina,campestris,Med/TempDry,W,E,Med/TempDry,,,,-3.083333333,-2.944444444,0.138888889,-4.716981137,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Alnus rubra,Alnus,rubra,Temperate,W,D,TemperateD,-0.84,-1.09,-0.25,-1.22,-1.32,-0.1,7.575757576,,,,,Seasonal adjustment,47.9,-122.1,Site56,1058,1.2482,846,55,60,128,84,212,-73,-24,-49,June,September,Pezeshki & Hinckley 1988,
Alphonsea mollis,Alphonsea,mollis,TropicalDry,W,E,TropicalDryE,-1.98,-1.77,0.21,-2.23,-2.17,0.06,-2.764976959,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Ammophila arenaria,Ammophila,arenaria,Coastal/Wetland,H,H,Coastal/Wetland,-1.21,-1.49,-0.28,-1.7,-1.93,-0.23,11.91709845,,,,,Seasonal adjustment,44.58333333,-124.05,Site25,1796,2.5601,748,217,33,53,96,1048,164,-63,227,March,August,Pavlik 1984,
Anacardium nanum,Anacardium,nanum,TropicalDry,W,D,TropicalDryD,-1.36,-1.87,-0.51,-1.45,-2.5,-1.05,42,96.7,92.3,-4.4,-4.767063922,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Andropogon ecoparius,Andropogon,ecoparius,Grassland,H,H,Grassland,-1.12,-1.52,-0.4,-1.35,-1.99,-0.64,32.16080402,,,,,Seasonal adjustment,39.0833,-96.5833,Site50,872,0.7562,1153,137,99,168,186,-281,-31,-87,56,June,August,Knapp 1984,
Andropogon gerardii,Andropogon,gerardii,Grassland,H,H,Grassland,-1.1,-1.31,-0.21,-1.26,-1.57,-0.31,19.74522293,,,,,Seasonal adjustment,39.0833,-96.5833,Site50,872,0.7562,1153,137,99,168,186,-281,-31,-87,56,June,August,Knapp 1984,
Andropogon hallii,Andropogon,hallii,Grassland,H,H,Grassland,-1.15,-1.23,-0.08,-1.35,-1.56,-0.21,13.46153846,,,,,Seasonal adjustment,41.89,-98.55,Site36,620,0.5766,1077,99,81,170,184,-457,-71,-103,32,June,July,Barnes 1985,
Anedenanthera falcata,Anedenanthera,falcata,TropicalDry,W,D,TropicalDryD,-2.25,-2.52,-0.27,-2.6,-2.9,-0.3,10.34482759,89.9,94,4.1,4.361702128,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Annona coriacea,Annona,coriacea,TropicalDry,W,E,TropicalDryE,-2.16,-2.79,-0.63,-2.35,-3.28,-0.93,28.35365854,92.46,93.8,1.34,1.428571429,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Arbutus andrachne,Arbutus,andrachne,Med/TempDry,W,E,Med/TempDry,,,,-2.22,-3.08,-0.86,27.92207792,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Arbutus menziesii,Arbutus,menziesii,Temperate,W,E,TemperateE,-1.71,-2.45,-0.74,-2.65,-2.91,-0.26,8.934707904,,,,,Seasonal adjustment,44.63812412,-123.192101,Site26,1085,1.0793,1020,35,18,148,157,65,-113,-139,26,June,August,Davis 2005,
Aspidosperma tomentosun,Aspidosperma,tomentosun,TropicalDry,W,E,TropicalDryE,-2.39,-2.55,-0.16,-2.88,-3,-0.12,4,88.24,86.76,-1.48,-1.705855233,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Atriplex polycarpa,Atriplex,polycarpa,SemiDesert,W,E,SemiDesert,-2.67,-3.01,-0.34,-3.55,-3.76,-0.21,5.585106383,,,,,Seasonal adjustment,33.43333333,-111.75,Site13,229.5,0.1443,1736,21,26,77,236,-1506.5,-56,-210,154,February,July,Monson & Smith 1982,
Baccaurea ramiflora,Baccaurea,ramiflora,TropicalDry,W,E,TropicalDryE,-0.74,-1.4,-0.66,-1,-1.56,-0.56,35.8974359,,,,,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,125,86,99,178,0,178,August,November,Zhu & Cao 2009,
Baccharis sarothroides,Baccharis,sarothroides,SemiDesert,W,E,SemiDesert,-1.83,-2.02,-0.19,-2.29,-2.43,-0.14,5.761316872,,,,,Seasonal adjustment,33.43333333,-111.75,Site13,229.5,0.1443,1736,21,26,77,236,-1506.5,-56,-210,154,February,July,Monson & Smith 1982,
Banksia attenuata,Banksia,attenuata,Coastal/Wetland,W,E,Coastal/Wetland,-2.27,-2.28,-0.01,-2.63,-2.83,-0.2,7.067137809,90,88,-2,-2.272727273,Seasonal adjustment,-32.61666667,115.7666667,Site38,879,0.6569,1338,119,18,66,138,-459,53,-120,173,August,March,Carter et al. 2006,
Banksia sphaerocarpa,Banksia,sphaerocarpa,Med/TempDry,W,E,Med/TempDry,,,,-3.305555556,-2.944444444,0.361111112,-12.26415094,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Barringtonia pendula ,Barringtonia,pendula,TropicalDry,W,E,TropicalDryE,-0.79988148,-0.825166039,-0.025284559,-1.246333333,-1.291469333,-0.045136,3.494933957,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
