DATE COLLECTED_TIME COLLECTED,PRESSURE [MPa],TIME OF DAY,Tree ID
9/1/15 7:15,3.3,pre-dawn,4
9/1/15 7:15,3.1,pre-dawn,4
9/1/15 7:15,3.2,pre-dawn,4
9/1/15 7:22,2.1,pre-dawn,167
9/1/15 7:22,2.2,pre-dawn,167
9/1/15 7:15,1.6,pre-dawn,5
9/1/15 7:15,1.8,pre-dawn,5
9/1/15 7:10,2.2,pre-dawn,1
9/1/15 7:10,2.5,pre-dawn,1
9/1/15 7:10,2.4,pre-dawn,1
9/1/15 7:40,3.8,pre-dawn,166
9/1/15 7:40,3.7,pre-dawn,166
9/1/15 13:07,4.4,mid-day,4
9/1/15 13:07,5.3,mid-day,4
9/1/15 13:07,4.8,mid-day,4
9/1/15 13:21,4.1,mid-day,167
9/1/15 13:21,4.8,mid-day,167
9/1/15 13:21,4,mid-day,167
9/1/15 13:31,4.9,mid-day,166
9/1/15 13:31,4.9,mid-day,166
9/1/15 13:05,4.7,mid-day,1
9/1/15 13:06,4.6,mid-day,1
9/1/15 13:06,4.3,mid-day,5
9/1/15 13:06,4.3,mid-day,5
9/26/15 12:32,4.9,mid-day,4
9/26/15 12:32,5.3,mid-day,4
9/26/15 12:30,4.3,mid-day,5
9/26/15 12:30,4,mid-day,5
9/26/15 12:35,4.4,mid-day,1
9/26/15 12:35,4.6,mid-day,1
9/26/15 13:02,4.4,mid-day,167
9/26/15 13:02,4.4,mid-day,167
9/26/15 13:05,3.5,mid-day,168
9/26/15 13:05,4,mid-day,168
9/27/15 7:25,2,pre-dawn,5
9/27/15 7:25,2,pre-dawn,5
9/27/15 7:28,2.8,pre-dawn,1
9/27/15 7:28,2.9,pre-dawn,1
9/27/15 7:25,3.5,pre-dawn,4
9/27/15 7:25,3.6,pre-dawn,4
9/27/15 7:46,2.3,pre-dawn,167
9/27/15 7:46,2.3,pre-dawn,167
9/27/15 7:48,2,pre-dawn,168
9/27/15 7:48,2.3,pre-dawn,168
5/4/16 6:18,0.3,pre-dawn,168
5/4/16 6:18,0.3,pre-dawn,168
5/4/16 6:15,0.25,pre-dawn,167
5/4/16 6:15,0.25,pre-dawn,167
5/4/16 6:20,0.3,pre-dawn,166
5/4/16 6:20,0.25,pre-dawn,166
5/4/16 6:30,0.3,pre-dawn,1
5/4/16 6:30,0.4,pre-dawn,1
5/4/16 6:30,0.4,pre-dawn,5
5/4/16 6:30,0.45,pre-dawn,5
5/4/16 6:40,0.3,pre-dawn,4
5/4/16 6:40,0.35,pre-dawn,4
5/4/16 6:40,0.35,pre-dawn,4
5/4/16 6:40,0.5,pre-dawn,3
5/4/16 6:40,0.55,pre-dawn,3
5/4/16 6:40,0.5,pre-dawn,3
5/18/16 13:08,1.8,mid-day,167
5/18/16 13:04,1.7,mid-day,3
5/18/16 13:04,1.7,mid-day,3
5/18/16 13:00,1.8,mid-day,5
5/18/16 13:00,1.8,mid-day,5
5/18/16 12:50,1.8,mid-day,1
5/18/16 12:50,2,mid-day,1
5/18/16 12:55,2,mid-day,4
5/18/16 12:55,1.9,mid-day,4
5/18/16 13:13,1.8,mid-day,168
5/18/16 13:13,1.6,mid-day,168
5/18/16 13:17,1.8,mid-day,166
5/18/16 14:09,1.8,mid-day,
5/19/16 5:33,0.4,pre-dawn,4
5/19/16 5:33,0.4,pre-dawn,4
5/19/16 5:47,0.3,pre-dawn,3
5/19/16 5:47,0.3,pre-dawn,3
5/19/16 5:56,0.3,pre-dawn,5
5/19/16 5:56,0.4,pre-dawn,5
5/19/16 5:58,0.4,pre-dawn,167
5/19/16 5:58,0.4,pre-dawn,166
5/19/16 6:00,0.4,pre-dawn,166
5/19/16 6:00,0.4,pre-dawn,168
5/19/16 5:59,0.3,pre-dawn,168
5/19/16 5:59,0.3,pre-dawn,1
5/19/16 5:45,0.55,pre-dawn,1
6/11/16 5:30,0.4,pre-dawn,166
6/11/16 5:30,0.5,pre-dawn,166
6/11/16 5:30,0.5,pre-dawn,166
6/11/16 5:24,0.4,pre-dawn,168
6/11/16 5:24,0.5,pre-dawn,168
6/11/16 5:12,0.5,pre-dawn,4
6/11/16 5:12,0.8,pre-dawn,4
6/11/16 5:16,0.4,pre-dawn,3
6/11/16 5:16,0.4,pre-dawn,3
6/11/16 5:20,0.4,pre-dawn,167
6/11/16 5:20,0.6,pre-dawn,167
