Species,Family,Genus,Species_name,Biomes,BiomeType,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome_FunctionalType,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_adjustment_contribution_to_TLP_DRY_percent,Drought Treatment,Site_Latitude,Site_Longitude,Site_Number,MeanAnnualPrecip_mm,AridityIndex_AI,PotentialEvapotranspiration_annual_mm,MeanPrecipitation_WetSeason_mm,MeanPrecipitation_DrySeason_mm,MeanPrecipitation_SeasonalDifference_mm,PotentialEvapotranspiration_WetSeason_mm,PotentialEvapotranspiration_DrySeason_mm,PotentialEvapotranspiration_SeasonalDifference_mm,Annual_WaterBalance_mm,WetSeason_WaterBalance_mm,DrySeason_WaterBalance_mm,SeasonalDifference_WaterBalance_mm,Wet month,Dry month,Reference,Notes,TLP_StandardError_WET,TLP_StandardError_DRY,TLP_N_WET,TLP_N_DRY,TLP_SD_WET,TLP_SD_DRY,Hedges_d_effectsize,Variance_Hedges_d,Relative_rate,Variance_relative)rate
Abies balsamea,Pinceae,Abies,balsamea,TemperateConifer,Wet,W,E,TemperateConifer,-1.28,-1.71,-0.43,25.14619883,Seasonal adjustment,47.3,-71.2,Site57,1316,2.1548,607,125,140,-15,125,100,25,709,8,15,-7,July,August,Pothier & Margolis 1990,,0.06,0.07,5,5,0.134164079,0.156524758,-2.6643,0.7549,-0.289633293,0.003872995
Acer rubrum,Aceraceae,Acer,rubrum,Temperate,Dry,W,D,TemperateD,-1.98,-1.97,0.01,-0.507614213,Seasonal adjustment,44.710281,-89.09582,Site70,814,0.9025,903,91,102,-11,132,138,-6,-89,-41,-36,-5,May,August,Abrams 1988,,0.03,0.02,3,3,0.051961524,0.034641016,0.1812,0.6694,0.005063302,0.000332637
Adesmia boronioides,Fabaceae,Adesmia,boronioides,SemiDesert,Dry,W,E,SemiDesert,-2,-2.88,-0.88,30.55555556,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,2,104,116,-12,-660,-93,-107,14,February,November,Scholz et al. 2012,,0.08,0.1,5,5,0.178885438,0.223606798,-3.9254,1.1704,-0.364643114,0.002805633
Allocasaurina campestris,Casuarinaceae,Allocasuarina,campestris,Med/TempDry,Dry,W,E,Med/TempDry,-3.083333333,-2.944444444,0.138888889,-4.716981137,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,11,92,143,-51,-1062,-64,-126,62,September,March,Mitchell et al. 2008,,0.22,0.26,4,4,0.44,0.52,0.2507,0.5039,0.046091107,0.012888239
Alnus rubra,Betulaceae,Alnus,rubra,Temperate,Dry,W,D,TemperateD,-1.22,-1.32,-0.1,7.575757576,Seasonal adjustment,47.9,-122.1,Site56,1058,1.2482,846,55,60,-5,128,84,44,212,-73,-24,-49,June,September,Pezeshki & Hinckley 1988,,0.39,0.12,6,6,0.955301,0.293938769,-0.1306,0.334,-0.078780878,0.110454734
Baccaurea ramiflora,Phyllanthaceae,Baccaurea,ramiflora,TropicalDry,Wet,W,E,TropicalDryE,-1,-1.56,-0.56,35.8974359,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,217,125,86,39,99,178,0,178,August,November,Zhu & Cao 2009,,0.07,0.14,5,5,0.156524758,0.313049517,-2.0438,0.6088,-0.444685821,0.012953912
Banksia attenuata,Proteceae,Banksia,attenuata,Coastal/Wetland,Wet,W,E,Coastal/Wetland,-2.63,-2.83,-0.2,7.067137809,Seasonal adjustment,-32.61666667,115.7666667,Site38,879,0.6569,1338,119,18,101,66,138,-72,-459,53,-120,173,August,March,Carter et al. 2006,,0.08,0.13,4,4,0.16,0.26,-0.8056,0.5406,-0.073292865,0.003035422
Banksia sphaerocarpa,Proteceae,Banksia,sphaerocarpa,Med/TempDry,Dry,W,E,Med/TempDry,-3.305555556,-2.944444444,0.361111112,-12.26415094,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,11,92,143,-51,-1062,-64,-126,62,September,March,Mitchell et al. 2008,,0.29,0.34,4,4,0.58,0.68,0.4969,0.5154,0.115684399,0.021030458
Barringtonia pendula ,Lecythidaceae,Barringtonia,pendula,TropicalDry,Wet,W,E,TropicalDryE,-1.246333333,-1.291469333,-0.045136,3.494933957,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.093425174,0.036882857,5,5,0.20890504,0.082472575,-0.2567,0.4033,-0.035574681,0.006434612
Beaufortia micrantha,Myrtaceae,Beaufortia,micrantha,Med/TempDry,Dry,W,E,Med/TempDry,-3.555555556,-3.972222222,-0.416666666,10.4895105,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,11,92,143,-51,-1062,-64,-126,62,September,March,Mitchell et al. 2008,,0.13,0.13,4,4,0.26,0.26,-1.3935,0.6214,-0.110814366,0.002407891
