WP,RWC,R,sample,type
-0.35,98.80416457,1.195835435,1,branch
-0.5,97.20521324,2.794786758,1,branch
-0.75,96.76412322,3.235876779,1,branch
-0.95,96.04735194,3.952648062,1,branch
-1.03,95.55112567,4.448874335,1,branch
-1.225,94.61380937,5.386190628,1,branch
-1.4,93.51108432,6.488915679,1,branch
-1.6,92.57376803,7.426231972,1,branch
-1.65,92.07754175,7.922458245,1,branch
-1.8,90.64399919,9.356000812,1,branch
-1.975,88.82450285,11.17549715,1,branch
-2.05,87.77691406,12.22308594,1,branch
-2.075,86.45364399,13.54635601,1,branch
-2.4,82.09788004,17.90211996,1,branch
-0.35,98.70968695,1.290313051,2,leaf
-0.45,96.69236424,3.307635758,2,leaf
-0.725,95.3011072,4.698892798,2,leaf
-1.225,93.07509594,6.924904061,2,leaf
-1.45,91.89252746,8.107472545,2,leaf
-1.675,89.9447676,10.0552324,2,leaf
-1.925,87.78831919,12.21168081,2,leaf
-0.475,96.28500666,3.714993343,3,leaf
-0.8,95.64353426,4.356465739,3,leaf
-0.925,95.19450358,4.805496416,3,leaf
-1.275,92.56446676,7.43553324,3,leaf
-1.4,91.47396369,8.526036314,3,leaf
-1.7,89.61369374,10.38630626,3,leaf
-1.85,87.17609863,12.82390137,3,leaf
-0.375,97.5884144,2.4115856,4,leaf
-0.775,96.78411428,3.215885719,4,leaf
-1.025,95.3542474,4.645752597,4,leaf
-1.2,94.907414,5.092585996,4,leaf
-1.525,92.76261369,7.237386312,4,leaf
-1.8,91.24338013,8.75661987,4,leaf
-1.925,89.72414657,10.27585343,4,leaf
-0.425,98.28996492,1.710035084,5,branch
-0.5,97.68225814,2.317741856,5,branch
-0.525,97.28592764,2.71407236,5,branch
-0.6,97.36519374,2.634806259,5,branch
-0.725,96.73106493,3.268935065,5,branch
-0.925,95.88555986,4.11444014,5,branch
-1,95.48922936,4.510770643,5,branch
-1.1,94.85510055,5.144899449,5,branch
-1.2,94.03601751,5.96398249,5,branch
-1.35,93.34904464,6.650955363,5,branch
-1.55,92.13363109,7.866368908,5,branch
-1.675,90.73326331,9.266736688,5,branch
-1.85,89.35931757,10.64068243,5,branch
-1.95,86.45289387,13.54710613,5,branch
-2.18,83.99564475,16.00435525,5,branch
-0.31,98.60911116,1.390888841,6,branch
-0.45,97.16024114,2.839758859,6,branch
-0.525,96.36213477,3.637865225,6,branch
-0.775,95.25706442,4.742935578,6,branch
-0.95,94.28705822,5.712941777,6,branch
-1.25,92.69084549,7.309154509,6,branch
-1.4,91.03323996,8.966760038,6,branch
-1.7,89.01955621,10.98044379,6,branch
-1.875,87.48473627,12.51526373,6,branch
-1.875,85.98675202,14.01324798,6,branch
-2.075,84.23091801,15.76908199,6,branch
-2.175,82.1435629,17.8564371,6,branch
